Summary,Issue Type,Description,Priority,Labels,Story Points,Epic Name,Sprint,External ID,Component,Fix Version
FP-25 Alert engine v1,Story,"Types, severity, notifications.",High,"mvp p0 backend",5,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-25,Fleet Map,MVP v1.0
FP-26 Alerts inbox UI,Story,"Acknowledge workflow.",High,"mvp p0 frontend design",3,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-26,Fleet Map,MVP v1.0
FP-27 Driver working time report,Story,"GPS-based hours report.",Medium,"mvp p1 backend",3,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-27,Fleet Map,MVP v1.0
FP-28 Offline vehicle badge,Task,"Stale data detection.",Medium,"mvp p1 backend",2,EP-3 Fleet Map & Telemetry,Sprint 3 — Fleet Map,FP-28,Fleet Map,MVP v1.0
EP-4 Fuel Agent,Epic,"Fuel dashboard, drain detection. Exit: alert in under 2 min.",High,mvp epic,22,,,EP-4,Fuel Agent,MVP v1.0
FP-30 Fuel baseline model,Story,"l/100km per vehicle baseline.",High,"mvp p0 ai backend",5,EP-4 Fuel Agent,Sprint 4 — Fuel Agent,FP-30,Fuel Agent,MVP v1.0
FP-31 Fuel anomaly detection,Story,"Sudden drop, off-route refuel.",High,"mvp p0 ai backend",8,EP-4 Fuel Agent,Sprint 4 — Fuel Agent,FP-31,Fuel Agent,MVP v1.0
FP-32 Confidence gating,Story,">=0.85 auto-alert else review.",High,"mvp p0 ai backend",3,EP-4 Fuel Agent,Sprint 4 — Fuel Agent,FP-32,Fuel Agent,MVP v1.0
FP-33 Fuel Agent dashboard UI,Story,"KPI cards, charts.",High,"mvp p0 frontend design",5,EP-4 Fuel Agent,Sprint 4 — Fuel Agent,FP-33,Fuel Agent,MVP v1.0
FP-34 Drain events workflow,Story,"Investigate table + actions.",High,"mvp p0 frontend backend",3,EP-4 Fuel Agent,Sprint 4 — Fuel Agent,FP-34,Fuel Agent,MVP v1.0
FP-35 Driver fuel rating,Story,"Leaderboard UI.",High,"mvp p0 frontend",3,EP-4 Fuel Agent,Sprint 4 — Fuel Agent,FP-35,Fuel Agent,MVP v1.0
FP-36 Monthly fuel report PDF,Story,"Savings export.",Medium,"mvp p1 backend",3,EP-4 Fuel Agent,Sprint 4 — Fuel Agent,FP-36,Fuel Agent,MVP v1.0
FP-37 Langfuse Fuel Agent,Task,"Anomaly observability.",Medium,"mvp p1 ai infra",2,EP-4 Fuel Agent,Sprint 4 — Fuel Agent,FP-37,Fuel Agent,MVP v1.0
EP-5 Route Agent,Epic,"VRP optimization, approval flow. Exit: 5-stop route optimized.",High,mvp epic,20,,,EP-5,Route Agent,MVP v1.0
FP-40 Yandex Maps Routing,Story,"Traffic-aware routing API.",High,"mvp p0 integrations backend",5,EP-5 Route Agent,Sprint 5 — Route Agent,FP-40,Route Agent,MVP v1.0
FP-41 OR-Tools VRP solver,Story,"Multi-stop route optimization.",High,"mvp p0 ai backend",8,EP-5 Route Agent,Sprint 5 — Route Agent,FP-41,Route Agent,MVP v1.0
FP-42 Route comparison UI,Story,"Manual vs optimized side-by-side.",High,"mvp p0 frontend design",5,EP-5 Route Agent,Sprint 5 — Route Agent,FP-42,Route Agent,MVP v1.0
FP-43 Route approval flow,Story,"Push to driver/TMS after approve.",High,"mvp p0 backend frontend",3,EP-5 Route Agent,Sprint 5 — Route Agent,FP-43,Route Agent,MVP v1.0
FP-44 LLM route explanation,Story,"Natural language reasoning.",Medium,"mvp p1 ai backend",3,EP-5 Route Agent,Sprint 5 — Route Agent,FP-44,Route Agent,MVP v1.0
FP-45 Route constraints,Story,"Time windows, capacity, ADR.",Medium,"mvp p1 backend",5,EP-5 Route Agent,Sprint 5 — Route Agent,FP-45,Route Agent,MVP v1.0
FP-46 Route savings audit log,Story,"History + ROI per route.",High,"mvp p0 backend",3,EP-5 Route Agent,Sprint 5 — Route Agent,FP-46,Route Agent,MVP v1.0
FP-47 Traffic weather hook,Story,"Yandex traffic integration.",Medium,"mvp p1 backend",3,EP-5 Route Agent,Sprint 5 — Route Agent,FP-47,Route Agent,MVP v1.0
EP-6 Dispatch Agent,Epic,"Order intake, top-3 assignment. Exit: dispatch demo end-to-end.",High,mvp epic,20,,,EP-6,Dispatch,MVP v1.0
FP-50 Dispatch order parse,Story,"Email/Excel/API intake.",High,"mvp p0 ai backend",8,EP-6 Dispatch Agent,Sprint 6 — Launch,FP-50,Dispatch,MVP v1.0
FP-51 Dispatch classify assign,Story,"FTL/LTL + top-3 proposals.",High,"mvp p0 ai backend",5,EP-6 Dispatch Agent,Sprint 6 — Launch,FP-51,Dispatch,MVP v1.0
FP-52 Dispatch UI,Story,"Approve/reject proposals.",High,"mvp p0 frontend design",5,EP-6 Dispatch Agent,Sprint 6 — Launch,FP-52,Dispatch,MVP v1.0
EP-7 Maintenance Agent,Epic,"Predictive maintenance schedule.",High,mvp epic,12,,,EP-7,Maintenance,MVP v1.0
FP-53 Maintenance rules CAN,Story,"Interval + DTC analysis.",High,"mvp p0 ai backend",5,EP-7 Maintenance Agent,Sprint 6 — Launch,FP-53,Maintenance,MVP v1.0
FP-54 Maintenance schedule UI,Story,"14-day forecast view.",High,"mvp p0 frontend",3,EP-7 Maintenance Agent,Sprint 6 — Launch,FP-54,Maintenance,MVP v1.0
EP-8 ROI & Analytics,Epic,"Savings dashboard, NPV calculator.",High,mvp epic,14,,,EP-8,Analytics,MVP v1.0
FP-55 ROI dashboard,Story,"Savings by agent, NPV calc.",High,"mvp p0 backend frontend",5,EP-8 ROI & Analytics,Sprint 6 — Launch,FP-55,Analytics,MVP v1.0
EP-9 Billing & GTM,Epic,"Payments, onboarding, Vercel landing.",High,mvp epic,14,,,EP-9,Billing,MVP v1.0
FP-56 Master TMS adapter,Story,"Bidirectional order sync.",Medium,"mvp p1 integrations",5,EP-9 Billing & GTM,Sprint 6 — Launch,FP-56,Billing,MVP v1.0
FP-57 YooKassa billing,Story,"Checkout + vehicle metering.",High,"mvp p0 backend",5,EP-9 Billing & GTM,Sprint 6 — Launch,FP-57,Billing,MVP v1.0
FP-58 Billing UI,Story,"Plan, usage, upgrade.",Medium,"mvp p1 frontend",3,EP-9 Billing & GTM,Sprint 6 — Launch,FP-58,Billing,MVP v1.0
FP-59 Onboarding wizard,Story,"GPS connect to vehicle map flow.",Medium,"mvp p1 frontend design",3,EP-9 Billing & GTM,Sprint 6 — Launch,FP-59,Billing,MVP v1.0
FP-65 Landing Vercel GTM,Task,"Production landing + pitch deck deploy.",Medium,"mvp p1 infra",2,EP-9 Billing & GTM,Sprint 6 — Launch,FP-65,Billing,MVP v1.0
EP-10 Observability & Launch,Epic,"E2E, security, production deploy.",High,mvp epic,12,,,EP-10,Infra,MVP v1.0
FP-60 E2E tests,Task,"Omnicomm to fuel alert to ROI flow.",High,"mvp p0 infra",5,EP-10 Observability & Launch,Sprint 6 — Launch,FP-60,Infra,MVP v1.0
FP-61 Production deploy,Task,"Yandex Cloud + runbook.",High,"mvp p0 infra",5,EP-10 Observability & Launch,Sprint 6 — Launch,FP-61,Infra,MVP v1.0
FP-62 Founding admin override,Task,"Manual plan for pilot customers.",Medium,"mvp p1 backend",2,EP-10 Observability & Launch,Sprint 6 — Launch,FP-62,Infra,MVP v1.0
FP-63 LLM cost cap,Task,"Rate limit per org.",High,"mvp p0 backend infra",3,EP-10 Observability & Launch,Sprint 6 — Launch,FP-63,Infra,MVP v1.0
FP-64 Security review 152-FZ,Task,"RLS, credentials audit checklist.",High,"mvp p0 infra",3,EP-10 Observability & Launch,Sprint 6 — Launch,FP-64,Infra,MVP v1.0
