Title,Description,Priority,Status,Estimate,Labels,Project,Milestone
FP-52 Dispatch UI,"Approve/reject proposals",High,Backlog,5,"frontend,design,p0,mvp",FleetPilot,Sprint 6
"[EP-7] Maintenance Agent","Epic: Predictive maintenance schedule",High,Backlog,12,"epic,mvp",FleetPilot,Sprint 6
FP-53 Maintenance rules CAN,"Interval + DTC analysis",High,Backlog,5,"ai,backend,p0,mvp",FleetPilot,Sprint 6
FP-54 Maintenance schedule UI,"14-day forecast view",High,Backlog,3,"frontend,p0,mvp",FleetPilot,Sprint 6
"[EP-8] ROI & Analytics","Epic: Savings dashboard, NPV",High,Backlog,14,"epic,mvp",FleetPilot,Sprint 6
FP-55 ROI dashboard,"Savings by agent, NPV calculator",High,Backlog,5,"backend,frontend,p0,mvp",FleetPilot,Sprint 6
"[EP-9] Billing & GTM","Epic: Payments, onboarding, launch",High,Backlog,14,"epic,mvp",FleetPilot,Sprint 6
FP-56 Master TMS adapter,"Bidirectional order sync",Medium,Backlog,5,"integrations,p1,mvp",FleetPilot,Sprint 6
FP-57 YooKassa billing,"Checkout + vehicle metering",High,Backlog,5,"backend,p0,mvp",FleetPilot,Sprint 6
FP-58 Billing UI,"Plan, usage, upgrade",Medium,Backlog,3,"frontend,p1,mvp",FleetPilot,Sprint 6
FP-59 Onboarding wizard,"GPS connect → vehicle map flow",Medium,Backlog,3,"frontend,design,p1,mvp",FleetPilot,Sprint 6
FP-65 Landing Vercel GTM,"Production landing + pitch deck",Medium,Backlog,2,"infra,p1,mvp",FleetPilot,Sprint 6
"[EP-10] Observability & Launch","Epic: E2E, security, production",High,Backlog,12,"epic,mvp",FleetPilot,Sprint 6
FP-60 E2E tests,"Omnicomm → fuel alert → ROI flow",High,Backlog,5,"infra,p0,mvp",FleetPilot,Sprint 6
FP-61 Production deploy,"Yandex Cloud + runbook",High,Backlog,5,"infra,p0,mvp",FleetPilot,Sprint 6
FP-62 Founding admin override,"Manual plan for pilots",Medium,Backlog,2,"backend,p1,mvp",FleetPilot,Sprint 6
FP-63 LLM cost cap,"Rate limit per org",High,Backlog,3,"backend,infra,p0,mvp",FleetPilot,Sprint 6
FP-64 Security review 152-FZ,"RLS, credentials audit",High,Backlog,3,"infra,p0,mvp",FleetPilot,Sprint 6
